"Proveedor","Estatus","Categoría","Subcategoria","Codigo","Descripcion ","Udm","Metraje","Formato","Tipo","Tipologia ","Color","Acabado","Corte","Precio sistema Caja","Precio Regular M2","Descuento autorizado Oferta Final ","Oferta Final M2 ","Precio M2 con complementos"
"Daltile","Master","Pisos ","Pisos Daltile","ZAA515151P7","ZAA5 37 cm x 37 cm Alpha Rojo 1a. Cal 2.11M2","M2",2.11,"37x37","Cerámico","Monocolor","Rojo","Mate","No Rectificado"," $559.00 "," $264.93 ",13.56%," $229.00 "," $219.00 "
"Daltile","Master","Pisos ","Pisos Daltile","ZCN815151P7","ZCN8 37 cm x 37 cm Colonial Elena 1a. Cal. 2.11M2","M2",2.11,"37x37","Cerámico","Geométrico","Multicolor","Mate","No Rectificado"," $559.00 "," $264.93 ",13.56%," $229.00 "," $219.00 "
"Daltile","Master","Pisos ","Pisos Daltile","ZCN915151P7","ZCN9 37 cm x 37 cm Colonial Frida 1a. Cal 2.11M2","M2",2.11,"37x37","Cerámico","Geométrico","Multicolor","Mate","No Rectificado"," $559.00 "," $264.93 ",13.56%," $229.00 "," $219.00 "
"Daltile","Master","Pisos ","Pisos Daltile","ZLM215151P7","ZLM2 37cm x 37 cm Lumiere Blanco 1a. Cal 2.11M2","M2",2.11,"37x37","Cerámico","Geométrico","Blanco","Mate","No Rectificado"," $559.00 "," $264.93 ",13.56%," $229.00 "," $219.00 "
"Daltile","Master","Pisos ","Pisos Daltile","ZCA52424C1P7","ZCA5 60.5 cm x 60.5 cm Cantabria Avorio 1a. Cal 1.82M2","M2",1.82,"60.5x60.5","Cerámico","Piedra","Beige","Mate","No Rectificado"," $659.00 "," $362.09 ",36.76%," $229.00 "," $219.00 "
"Renujal","Master","Pisos ","Pisos Renujal ","CAS785","TULUM 60 SAND 60X60 5PZ 1.80M2","M2",1.8,"60X60","Cerámico","Piedra","Beige","Mate","No Rectificado"," $499.00 "," $277.22 ",17.39%," $229.00 "," $219.00 "
"Vitromex","Master","Pisos ","Pisos Vitromex",520224251007151,"PISO MALIBU-AD BLANCO 20.1X20.1 CM 1.53 M2 CAJA","M2",1.53,"20.1x20.1","Cerámico","Monocolor","Blanco","Brillante","No Rectificado"," $439.00 "," $286.93 ",16.70%," $239.00 "," $-   "
"Vitromex","Master","Pisos ","Pisos Vitromex",522915408067151,"PISO SPRITZ WHITE 20.1X20.1CM 1.53 M2","M2",1.53,"20.1x20.1","Cerámico","Monocolor","Blanco","Mate","No Rectificado"," $439.00 "," $286.93 ",16.70%," $239.00 "," $-   "
"Vitromex","Master","Pisos ","Pisos Vitromex",522915408156151,"PISO SPRITZ BLACK 20.1x20.1CM 1.53 M2","M2",1.53,"20.1x20.1","Cerámico","Monocolor","Negro","Mate","No Rectificado"," $439.00 "," $286.93 ",16.70%," $239.00 "," $-   "
"Vitromex","Master","Pisos ","Pisos Vitromex",522841143931201,"PISO ALPINO BR ORO 60.5x60.5 CM 1.83 M2/CAJA","M2",1.83,"60.5x60.5","Cerámico","Marmol","Blanco","Brillante","No Rectificado"," $529.00 "," $289.07 ",17.32%," $239.00 "," $-   "
