"Proveedor","Codigo","Descripcion ","Metraje","Formato","Precio sistema Caja","Precio Regular M2","Descuento autorizado Oferta Final ","Oferta Final M2 ","Precio M2 con complementos","Comentarios"
"Neostone","NEOS220","ATENAS BIANCO MATTE 60X120CM 5MM 2.88 M2",2.88,"60X120"," $1,339.00 "," $464.93 ",35.6893%," $299.00 "," $289.00 ",
"Neostone","NEOS216","MONT BIANCO MATTE 60X120 CM 5MM 2.88 M2",2.88,"60X120"," $1,339.00 "," $464.93 ",35.6893%," $299.00 "," $289.00 ",
"Neostone","NEOS213","ATENAS BIANCO GLOSSY 60 X 120 CM 5MM 2.88M2",2.88,"60X120"," $1,339.00 "," $464.93 ",35.6893%," $299.00 "," $289.00 ",
"Neostone","NEOS201","ARMANI CASTAL 5MM 60X120 2.88 M2",2.88,"60X120"," $1,339.00 "," $464.93 ",35.6893%," $299.00 "," $289.00 ",
"Neostone","NEOS200","CASTANO WOOD 5 MM 60X120 2.88 M2",2.88,"60X120"," $1,339.00 "," $464.93 ",35.6893%," $299.00 "," $289.00 ",
"Neostone","NEOS202","SIG STATUARIO PL 5MM 60X120 2.88M2",2.88,"60X120"," $1,339.00 "," $464.93 ",35.6893%," $299.00 "," $279.00 ",
"Neostone","NEOS221","SIG STATUARIO MT 5MM 60X120 2.88M3",2.88,"60X120"," $1,339.00 "," $464.93 ",35.6893%," $299.00 "," $279.00 ",
"Neostone","NEOS305","MORDAN SILVER GL 7MM 60X120 2.16 M2",2.16,"60X120"," $1,019.00 "," $471.76 ",36.6202%," $299.00 "," $289.00 ",
"Neostone","NEOS303","INDEX GREY MT 7MM 60X120 2.16 M2",2.16,"60X120"," $1,019.00 "," $471.76 ",36.6202%," $299.00 "," $289.00 ",
"Neostone","NEOS304","CLASSIC STATUARIO MT 7MM 60X120 2.16 M2",2.16,"60X120"," $1,019.00 "," $471.76 ",36.6202%," $299.00 "," $289.00 ",
"Neostone","NEOS215","SIDNEY GREY GLOSSY 60 X 120 5MM 2.88M2",2.88,"60X120"," $1,339.00 "," $464.93 ",35.6893%," $299.00 "," $289.00 ",
"Neostone","NEOS203","MARMOL CARRARA 5MM 60X120 2.88 M2",2.88,"60X120"," $1,099.00 "," $381.60 ",16.4040%," $319.00 "," $309.00 ",
"Neostone","NEOS306","PARIS WHITE GL 7MM 60X120 2.16 M2",2.16,"60X120"," $999.00 "," $462.50 ",24.5405%," $349.00 "," $339.00 ",
"Neostone","NEOS300","NOIR STATUARIO GL 7MM 60X120 2.16M2",2.16,"60X120"," $999.00 "," $462.50 ",24.5405%," $349.00 "," $339.00 ",
"Neostone","NEOS315","CALACATTA CLASSIC (PY126929) 60X120 2.16 M2",2.16,"60X120"," $1,069.00 "," $494.91 ",25.4406%," $369.00 "," $359.00 ",
"Neostone","NEOS209","CARAMEL WHITE 60X120 1.44 M2",1.44,"60X120"," $699.00 "," $485.42 ",23.9828%," $369.00 "," $359.00 ",
"Neostone","NEOS418","BUCAREST SILVER MATT 60X120 1.44 m2",1.44,"60X120"," $709.00 "," $492.36 ",25.0550%," $369.00 "," $359.00 ",
"Neostone","NEOS160","NEO CARRARA PL 60X120 1.44 M2",1.44,"60X120"," $709.00 "," $492.36 ",25.0550%," $369.00 "," $319.00 ",
"Neostone","NEOS223","COILCHIPS GREY 9MM 60X120 1.44 M2",1.44,"60X120"," $709.00 "," $492.36 ",25.0550%," $369.00 "," $359.00 ",
"Neostone","NEOS383","SIG STATUARIO PL 9MM 60X120 1.44 M2",1.44,"60X120"," $709.00 "," $492.36 ",25.0550%," $369.00 "," $359.00 ",
"Neostone","NEOS436","SIG STATUARIO MT 9MM 60X120 1.44 M2",1.44,"60X120"," $709.00 "," $492.36 ",25.0550%," $369.00 "," $359.00 ",
"Neostone","NEOS373","ARABELL SATIN MATT 60X120 1.44 M2",1.44,"60X120"," $869.00 "," $603.47 ",38.8539%," $369.00 "," $349.00 ",
"Neostone","NEOS142","ALDEN BIANCO 60X120 1.44 M2",1.44,"60X120"," $699.00 "," $485.42 ",21.9227%," $379.00 "," $269.00 ","Hasta agotar existencias"
"Neostone","NEOS374","MONTCALM SATIN MATT 60X120 1.44M2",1.44,"60X120"," $709.00 "," $492.36 ",20.9929%," $389.00 "," $379.00 ",
"Neostone","NEOS059","STENCIL LT 60X120 1.44 M2",1.44,"60X120"," $899.00 "," $624.31 ",37.6908%," $389.00 "," $379.00 ",
"Neostone","NEOS376","SIG STATUARIO PL 7MM 60X120 2.16 M2",2.16,"60X120"," $1,069.00 "," $494.91 ",19.3789%," $399.00 "," $389.00 ",
"Neostone","NEOS178","EVEREST RUSTIC 60X120 1.44 M2",1.44,"60X120"," $699.00 "," $485.42 ",17.8026%," $399.00 "," $389.00 ",
"Neostone","NEOS413","FERRARA BIANCO MATT 60X120 1.44 m2",1.44,"60X120"," $699.00 "," $485.42 ",17.8026%," $399.00 "," $389.00 ",
"Neostone","NEOS414","FERRARA IVORY MATT 60X120 1.44 M2",1.44,"60X120"," $699.00 "," $485.42 ",17.8026%," $399.00 "," $349.00 ",
"Neostone","NEOS415","FERARRA NERO MATT 60X120 1.44 m2",1.44,"60X120"," $699.00 "," $485.42 ",17.8026%," $399.00 "," $389.00 ",
"Neostone","NEOS416","BUCAREST CREMA MATT 60X120 1.44 m2",1.44,"60X120"," $709.00 "," $492.36 ",18.9619%," $399.00 "," $389.00 ",
"Neostone","NEOS419","SAN REMO GREY MATT 60X120 1.44 m2",1.44,"60X120"," $709.00 "," $492.36 ",18.9619%," $399.00 "," $389.00 ",
"Neostone","NEOS420","SAN GALO BIANCO MATT 60X120 1.44 m2",1.44,"60X120"," $709.00 "," $492.36 ",18.9619%," $399.00 "," $389.00 ",
"Neostone","NEOS421","SAN GALO GREY MATT 60X120 1.44 m2",1.44,"60X120"," $709.00 "," $492.36 ",18.9619%," $399.00 "," $389.00 ",
"Neostone","NEOS143","MURANO GREY 60X120 1.44M2",1.44,"60X120"," $709.00 "," $492.36 ",18.9619%," $399.00 "," $389.00 ",
"Neostone","NEOS192","MARQUINA BLACK 60x120 1.44 M2",1.44,"60X120"," $709.00 "," $492.36 ",16.9309%," $409.00 "," $399.00 ",
"Neostone","NEOS193","MARQUINA GOLD 60x120 1.44 M2",1.44,"60X120"," $709.00 "," $492.36 ",16.9309%," $409.00 "," $399.00 ",
"Neostone","ARA60X120","PISO ARABELL 60X120 1.44M2",1.44,"60X120"," $892.58 "," $619.85 ",30.7894%," $429.00 "," $419.00 ",
"Neostone","EVEREST60X120","EVEREST 60x120 1.44 M2",1.44,"60X120"," $726.98 "," $504.85 ",15.0238%," $429.00 "," $329.00 ",
"Neostone","NEOS146","STATUARIO EVA 60X120 1.44 M2",1.44,"60X120"," $699.00 "," $485.42 ",11.6223%," $429.00 "," $319.00 ",
"Neostone","NEOS155","PETRA NOVA GREY PL 60X120 1.44 M2",1.44,"60X120"," $739.00 "," $513.19 ",16.4060%," $429.00 "," $419.00 ",
"Neostone","NEOS137","PETRA NOVA GREY SATIN 60x120 1.44 M2",1.44,"60X120"," $739.00 "," $513.19 ",16.4060%," $429.00 "," $419.00 ",
"Neostone","NEOS371","MESINA GREY MATT 60X120 1.44M2",1.44,"60X120"," $739.00 "," $513.19 ",16.4060%," $429.00 "," $409.00 ",
"Neostone","NEOS372","MESINA NATURAL MATT 60X120 1.44M2",1.44,"60X120"," $739.00 "," $513.19 ",16.4060%," $429.00 "," $409.00 ",
"Neostone","NEOS210","ARMAN BLUE 60X120 1.44 M2",1.44,"60X120"," $1,029.00 "," $714.58 ",39.9650%," $429.00 "," $419.00 ",
"Neostone","MONT60X120","PISO MONTCALM 60X120 1.44M",1.44,"60X120"," $726.98 "," $504.85 ",13.0430%," $439.00 "," $429.00 ",
"Neostone","NEOS081","OSIRIS BIANCO 60X120 1.44 M2",1.44,"60X120"," $726.98 "," $504.85 ",13.0430%," $439.00 "," $429.00 ",
"Neostone","NEOS082","OSIRIS GREY 60X120 1.44 M2",1.44,"60X120"," $726.98 "," $504.85 ",13.0430%," $439.00 "," $429.00 ",
"Neostone","NEOS162","NEPTUNE STATUARIO POLISH 60X120 1.44 M2",1.44,"60X120"," $726.98 "," $504.85 ",34.8318%," $329.00 "," $299.00 ","Hasta agotar existencias"
"Neostone","NEOS417","BUCAREST GREY MATT 60X120 1.44 m2",1.44,"60X120"," $726.98 "," $504.85 ",13.0430%," $439.00 "," $299.00 ","Hasta agotar existencias"
"Neostone","NEOS438","SAN REMO GREY PL 60X120 1.44 M2",1.44,"60X120"," $726.98 "," $504.85 ",13.0430%," $439.00 "," $359.00 ",
"Neostone","NEOS450","EVEREST MATT 60x120 1.44 M2",1.44,"60X120"," $726.98 "," $504.85 ",13.0430%," $439.00 "," $429.00 ",
"Neostone","NEOS501","DEVICI BIANCO 60X120 1.44M2",1.44,"60X120"," $726.98 "," $504.85 ",13.0430%," $439.00 "," $359.00 ",
"Neostone","NEOS502","FLAVIA GREY 60X120 1.44M2",1.44,"60X120"," $726.98 "," $504.85 ",13.0430%," $439.00 "," $429.00 ",
"Neostone","NEOS503","FLAVIA BEIGE 60X120 1.44M2",1.44,"60X120"," $726.98 "," $504.85 ",13.0430%," $439.00 "," $429.00 ",
"Neostone","NEOS504","GYPSUM SILVER 60X120 1.44 M2",1.44,"60X120"," $726.98 "," $504.85 ",13.0430%," $439.00 "," $429.00 ",
"Neostone","NEOS505","GYPSUM MULTY 60X120 1.44M2",1.44,"60X120"," $726.98 "," $504.85 ",13.0430%," $439.00 "," $429.00 ",
"Neostone","NEOS506","FARO PISTA 60X120 1.44M2",1.44,"60X120"," $726.98 "," $504.85 ",13.0430%," $439.00 "," $299.00 ","Hasta agotar existencias"
"Neostone","NEOS507","DEVICI SEPIA 60X120 1.44M2",1.44,"60X120"," $726.98 "," $504.85 ",13.0430%," $439.00 "," $359.00 ",
"Neostone","NEOS508","FLOW GREY 60X120 1.44M2",1.44,"60X120"," $726.98 "," $504.85 ",13.0430%," $439.00 "," $429.00 ",
"Neostone","NEOS509","FLOW WHITE 60X120 1.44M2",1.44,"60X120"," $726.98 "," $504.85 ",13.0430%," $439.00 "," $429.00 ",
"Neostone","NEOS510","FARO GREY 60X120 1.44M2",1.44,"60X120"," $726.98 "," $504.85 ",13.0430%," $439.00 "," $299.00 ","Hasta agotar existencias"
"Neostone","NEOS511","DEVICI GREY 60X120 1.44M2",1.44,"60X120"," $726.98 "," $504.85 ",13.0430%," $439.00 "," $359.00 ",
"Neostone","NEOS512","DEVICI CREMA 60X120 1.44M2",1.44,"60X120"," $726.98 "," $504.85 ",13.0430%," $439.00 "," $359.00 ",
