"Proveedor","Codigo","Descripcion ","Metraje","Formato","Precio sistema Caja","Precio Regular M2","Descuento autorizado Oferta Final ","Oferta Final M2 ","Precio M2 con complementos","Comentarios"
"Neostone","CORDO60X60","CORDOBA 60x60 1.44 M2",1.44,"60X60"," $599.00 "," $415.97 ",16.1002%," $349.00 "," $339.00 ",
"Neostone","NEOS154","PETRA NOVA GREY PL 60X60 1.44 M2",1.44,"60X60"," $627.62 "," $435.85 ",13.0429%," $379.00 "," $369.00 ",
"Neostone","CGP002","BILBAO 60x60 1.44 M2",1.44,"60X60"," $644.18 "," $447.35 ",13.0429%," $389.00 "," $379.00 ",
"Neostone","CPL0060","LANJARON 60X60 CAJA 1.44 M2",1.44,"60X60"," $644.18 "," $447.35 ",13.0429%," $389.00 "," $379.00 ",
"Neostone","NEOS333","CREMA VALENCIA 60X60 1.44 M2",1.44,"60X60"," $699.00 "," $485.42 ",17.8026%," $399.00 "," $389.00 ",
"Neostone","NEOS362","CALABRIA BEIGE MATT 60X60 1.44 M2",1.44,"60X60"," $759.00 "," $527.08 ",14.8142%," $449.00 "," $439.00 ",
"Neostone","NEOS363","CALABRIA GREY MATT 60x60 1.44M2",1.44,"60X60"," $759.00 "," $527.08 ",14.8142%," $449.00 "," $439.00 ",
"Neostone","NEOS364","CALABRIA WHITE MATT 60X60 1.44M2",1.44,"60X60"," $759.00 "," $527.08 ",14.8142%," $449.00 "," $439.00 ",
"Neostone","NEOS207","MIDNIGHT 60X60 1.44 M2",1.44,"60X60"," $759.00 "," $527.08 ",14.8142%," $449.00 "," $439.00 ",
"Neostone","NEOS365","CALABRIA BLACK MATT 60X60 1.44M2",1.44,"60X60"," $799.00 "," $554.86 ",15.4743%," $469.00 "," $459.00 ",
"Neostone","NEOS225","BLACK STORM 60X60 1.44 M2",1.44,"60X60"," $779.00 "," $540.97 ",11.4557%," $479.00 "," $469.00 ",
"Neostone","NEOS321","IMPERIAL (NERO ABSOLUTE) 60X60 1.44M2",1.44,"60X60"," $999.00 "," $693.75 ",20.8649%," $549.00 "," $249.00 ","Hasta agotar existencias"
"Neostone","INCN417","PONTA DO MEL 63X63 2.79m2 (PSI-63290R)",2.79,"63X63"," $899.00 "," $322.22 ",25.8276%," $239.00 "," $229.00 ",
"Neostone","INCF415","HERMÉS 74X74 2.19m2 (PHD70510R)",2.19,"74X74"," $829.00 "," $378.54 ",36.8625%," $239.00 "," $179.00 ","Hasta agotar existencias"
"Neostone","INCF413","RENATO 74X74 2.19m2 (PHD70200R)",2.19,"74X74"," $829.00 "," $378.54 ",36.8625%," $239.00 "," $229.00 ",
"Neostone","NEOS462","PRETORIA MATT (715009) 75X150 2.25M2",2.25,"75X150"," $1,699.00 "," $755.11 ",40.5386%," $449.00 "," $339.00 ","Hasta agotar existencias"
"Neostone","NEOS317","CARRARA GLOSSY (75BT811) 75X150 2.25M2",2.25,"75X150"," $1,699.00 "," $755.11 ",18.0253%," $619.00 "," $609.00 ",
"Neostone","NEOS319","VICTORIA DARK GREY (XYN715FY203) 75X150 2.25M2",2.25,"75X150"," $1,699.00 "," $755.11 ",18.0253%," $619.00 "," $339.00 ","Hasta agotar existencias"
"Neostone","NEOS320","VICTORIA LIGHT GREY (XYN715FY107) 75X150 2.25M2",2.25,"75X150"," $1,699.00 "," $755.11 ",18.0253%," $619.00 "," $339.00 ","Hasta agotar existencias"
"Neostone","NEOS463","CLASSIC STATUARIO MATT (XYN75BT820) 75X150 2.25M2",2.25,"75X150"," $1,699.00 "," $755.11 ",18.0253%," $619.00 "," $599.00 ",
"Neostone","NEOS464","SAN MARTIN MATT (TM2741) 75X150 2.25M2",2.25,"75X150"," $1,699.00 "," $755.11 ",18.0253%," $619.00 "," $599.00 ",
"Neostone","NEOS425","CARRARA GOLD 75X150 2.25M2",2.25,"75X150"," $1,808.66 "," $803.85 ",13.0434%," $699.00 "," $689.00 ",
"Neostone","NEOS161","NEO CARRARA 80X160 2.56 M2",2.56,"80X160"," $2,327.00 "," $908.98 ",45.1036%," $499.00 "," $349.00 ","Hasta agotar existencias"
"Neostone","NEOS235","LAURENT BLUE 80X160 2.56 M2",2.56,"80X160"," $2,587.00 "," $1,010.55 ",50.6208%," $499.00 "," $349.00 ","Hasta agotar existencias"
"Neostone","NEOS339","CLASSIC STATUARIO 80X160 2.56M2",2.56,"80X160"," $2,067.00 "," $807.42 ",28.2903%," $579.00 ",,
"Neostone","NEOS490","TOLEDO IVORY 80X160 2.56 M2",2.56,"80X160"," $2,067.00 "," $807.42 ",28.2903%," $579.00 ",,
"Neostone","NEOS230","TOLEDO CREMA (ARMANI CREMA) 80X160 2.56 M2",2.56,"80X160"," $2,067.00 "," $807.42 ",28.2903%," $579.00 ",,
"Neostone","NEOS340","SIERRA NEVADA 80X160 2.56M2",2.56,"80X160"," $2,327.00 "," $908.98 ",29.7018%," $639.00 ",,
"Neostone","NEOS341","STATUARIO ORO 80X160 2.56M2",2.56,"80X160"," $2,327.00 "," $908.98 ",29.7018%," $639.00 ",,
"Neostone","NEOS228","DOWNTON GREY 80X160 2.56 M2",2.56,"80X160"," $2,327.00 "," $908.98 ",29.7018%," $639.00 ",,
"Neostone","NEOS229","CALCUTTA BIANCO 80X160 2.56 M2",2.56,"80X160"," $2,327.00 "," $908.98 ",29.7018%," $639.00 ",,
"Neostone","NEOS231","BAYONA SMOKE 80X160 2.56 M2",2.56,"80X160"," $2,327.00 "," $908.98 ",29.7018%," $639.00 ",,
"Neostone","NEOS232","TOLEDO BIANCO 80X160 2.56 M2",2.56,"80X160"," $2,327.00 "," $908.98 ",29.7018%," $639.00 ",,
"Neostone","NEOS233","TOLEDO GREY 80X160 2.56 M2",2.56,"80X160"," $2,327.00 "," $908.98 ",29.7018%," $639.00 ",,
"Neostone","NEOS340","SIERRA NEVADA 80X160 2.56M2",2.56,"80X160"," $2,327.00 "," $908.98 ",29.7018%," $639.00 ",,
"Neostone","NEOS341","STATUARIO ORO 80X160 2.56M2",2.56,"80X160"," $2,327.00 "," $908.98 ",29.7018%," $639.00 ",,
"Neostone","NEOS234","AMAZONITE VERDE 80X160 2.56 M2",2.56,"80X160"," $2,587.00 "," $1,010.55 ",31.8191%," $689.00 ",,
"Neostone","NEOS453","LABRADORITE NATURAL HG 80x160 2.56 m2",2.56,"80X160"," $2,587.00 "," $1,010.55 ",31.8191%," $689.00 ",,
"Neostone","NEOS497","STATUARIO EVA  80X80 1.92 M2",1.92,"80X80"," $999.00 "," $520.31 ",29.0811%," $369.00 ",,
"Neostone","CGP014","SIERRA NEVADA 80X80 1.92 M2",1.92,"80X80"," $999.00 "," $520.31 ",21.3934%," $409.00 ",,
"Neostone","NEOS335","CARRARA GOLD (MT918005) 90X180 1.62M2",1.62,"90X180"," $1,807.00 "," $1,115.43 ",41.8163%," $649.00 ",,
"Neostone","NEOS332","GILACIER (XYN98BT016) 90X180 1.62M2",1.62,"90X180"," $1,807.00 "," $1,115.43 ",41.8163%," $649.00 ",,
"Neostone","NEOS330","STATUARIO I  90X180 3.24M2",3.24,"90X180"," $3,614.00 "," $1,115.43 ",41.8163%," $649.00 ",,
"Neostone","NEOS427","STATUARIO I 90X180 1.62M2",1.62,"90X180"," $1,807.00 "," $1,115.43 ",41.8163%," $649.00 ",,
"Neostone","NEOS336","STATUARIO II 90X180 3.24M2",3.24,"90X180"," $3,614.00 "," $1,115.43 ",41.8163%," $649.00 ",,
"Neostone","NEOS337","TARRASA DARK GREY (DPN918FY203) 90X180 1.62M2",1.62,"90X180"," $1,807.00 "," $1,115.43 ",41.8163%," $649.00 ",,
"Neostone","NEOS334","TARRASA LIGHT GREY (DPN918FY102) 90X180 1.62M2",1.62,"90X180"," $1,807.00 "," $1,115.43 ",41.8163%," $649.00 ",,
"Neostone","NEOS331","TURKISH RED ROOT (DPN918L231) 90X180 1.62M2",1.62,"90X180"," $1,807.00 "," $1,115.43 ",41.8163%," $649.00 ",,
"Neostone","NEOS316","CARRARA GLOSSY (918L102) 90X180 1.62M2",1.62,"90X180"," $1,807.00 "," $1,115.43 ",33.7476%," $739.00 ",,
"Neostone","NEOS318","STATUARIO GLOSSY (918L008) 90X180 1.62M2",1.62,"90X180"," $1,807.00 "," $1,115.43 ",33.7476%," $739.00 ",,
"Neostone","NEOS116","NEO CARRARA 90X180 3.24M2",3.24,"90X180"," $3,770.00 "," $1,163.58 ",31.3326%," $799.00 ",,
"Neostone","NEOS308","Indoor Wall Panel Black 2900x165x25 0.4785 m2",1,"Pieza"," $549.00 "," $549.00 ",71.0383%," $159.00 ",,
"Neostone","NEOS311","Indoor Wall Panel Brown 2900x165x25 0.4785 m2",1,"Pieza"," $549.00 "," $549.00 ",71.0383%," $159.00 ",,
"Neostone","NEOS312","Indoor Wall Panel EPgreywood 2900x195x12 0.5655 m2",1,"Pieza"," $549.00 "," $549.00 ",71.0383%," $159.00 ",,
"Neostone","NEOS313","Indoor Wall Panel Golden Teak 2900x195x12 0.5655 m2",1,"Pieza"," $549.00 "," $549.00 ",71.0383%," $159.00 ",,
"Neostone","NEOS309","Indoor Wall Panel Grey 2900x165x25 0.4785 m2",1,"Pieza"," $549.00 "," $549.00 ",71.0383%," $159.00 ",,
"Neostone","NEOS426","Indoor Wall Panel Nogal 2900x165x25 0.4785 m2",1,"Pieza"," $549.00 "," $549.00 ",71.0383%," $159.00 ",,
"Neostone","NEOS310","Indoor Wall Panel Teak 2900x165x25 0.4785 m2",1,"Pieza"," $549.00 "," $549.00 ",71.0383%," $159.00 ",,
"Neostone","NEOS307","Indoor Wall Panel White 2900x165x25 0.4785 m2",1,"Pieza"," $549.00 "," $549.00 ",71.0383%," $159.00 ",,
"Neostone","NEOS399","PS Wall Panel Black Gold 2900x120x12 0.3480 m2",1,"Pieza"," $549.00 "," $549.00 ",71.0383%," $159.00 ",,
"Neostone","NEOS400","PS Wall Panel Brown Gold 2900x120x12 0.3480 m2",1,"Pieza"," $549.00 "," $549.00 ",71.0383%," $159.00 ",,
"Neostone","NEOS401","PS Wall Panel White Gold 2900x120x12 0.3480 m2",1,"Pieza"," $549.00 "," $549.00 ",71.0383%," $159.00 ",,
"Neostone","NEOS486","Indoor Viga WPC Teak 2900x100x50",1,"Pieza"," $599.00 "," $599.00 ",66.7780%," $199.00 ",,
"Neostone","NEOS485","Indoor Viga WPC Walnut 2900x100x50",1,"Pieza"," $599.00 "," $599.00 ",66.7780%," $199.00 ",,
"Neostone","NEOS025","CALACATTA GOLD HEXAGON 28.5X33 1M2",1,"28.5x33"," $238.80 "," $238.80 ",12.4791%," $209.00 ",,
"Neostone","NEOS190","MANHATTAN COTTO 31X56 1.21M2",1.21,"31x56"," $288.95 "," $238.80 ",12.4791%," $209.00 ",,
"Neostone","INCF417","BABEL GRAY BR HDM36920R 35x70 1.68 m2",1.68,"35x70"," $659.00 "," $392.26 ",41.6206%," $229.00 "," $219.00 ",
"Neostone","INCF416","CALACATTA NATURAL BR HDM36910R 35x70 1.68 m2",1.68,"35x70"," $659.00 "," $392.26 ",41.6206%," $229.00 "," $219.00 ",
"Neostone","INCF419","IROKO SATIN HDM37260R 35x70 1.68 m2",1.68,"35x70"," $659.00 "," $392.26 ",41.6206%," $229.00 "," $159.00 ","Hasta agotar existencias"
"Neostone","INCN420","ALTO DA SÉ 63X63 2.79m2 (PSI-63570R)",2.79,"63X63"," $899.00 "," $322.22 ",25.8276%," $239.00 "," $229.00 ",
"Neostone","NEOS380","MALLA AVEIRO 30.5X30.5",1,"30.5x30.5"," $319.00 "," $319.00 ",25.0000%," $239.25 ",,
"Neostone","NEOS381","MALLA ÉVORA 30.5X30.5",1,"30.5x30.5"," $319.00 "," $319.00 ",25.0000%," $239.25 ",,
"Neostone","NEOS378","MALLA LAGOS 30.2X26.2",1,"30.2x26.2"," $332.00 "," $332.00 ",25.0000%," $249.00 ",,
"Neostone","NEOS379","MALLA MADEIRA 30.2X26.2",1,"30.2x26.2"," $332.00 "," $332.00 ",25.0000%," $249.00 ",,
"Neostone","NEOS219","ANTICATO NERO CARVING  60 X 120 CM 5MM 2.88M2",2.88,"60x120"," $1,339.00 "," $464.93 ",35.6893%," $299.00 "," $289.00 ",
"Neostone","NEOS217","CEMENT ICE  MATTE 60 X 120 CM 5MM 2.88 M2",2.88,"60x120"," $1,339.00 "," $464.93 ",35.6893%," $299.00 "," $289.00 ",
"Neostone","NEOS214","COTTI GREY MATTE 60 X 120 CM 5MM 2.88 M2",2.88,"60x120"," $1,339.00 "," $464.93 ",35.6893%," $299.00 "," $189.00 ","Hasta agotar existencias"
"Neostone","NEOS205","BILBAO 80X80 1.92 M2",1.92,"80x80"," $999.00 "," $520.31 ",29.0811%," $369.00 ",,
"Neostone","NEOS206","CORN WHITE 80X80 1.92 M2",1.92,"80x80"," $999.00 "," $520.31 ",29.0811%," $369.00 ",,
"Neostone","CPL00180","LANJARON 80X80 1.92 M2",1.92,"80x80"," $999.00 "," $520.31 ",29.0811%," $369.00 ",,
"Neostone","NEOS024"," RIOJA SLATE 31X56 1.21 M2",1.21,"31x31"," $790.00 "," $652.89 ",34.2924%," $429.00 ",,
"Neostone","NEOS466","LIFE TORTORA MATT 20X120 1.20M2",1.2,"20x20"," $729.00 "," $607.50 ",17.8601%," $499.00 "," $489.00 ",
"Neostone","MARVALB20X120","MARVAL BEIGE 20X120CM 1.20M2/CJ",1.2,"20x20"," $729.00 "," $607.50 ",17.8601%," $499.00 "," $489.00 ",
"Neostone","NEOS397","Exterior WPC Wall Panel Grey 2900x220x26 0.6380 m2",1,"Pieza"," $890.00 "," $890.00 ",32.6966%," $599.00 ",,
"Neostone","NEOS396","Exterior WPC Wall Panel Rosewood 2900x220x26 0.6380 m2",1,"Pieza"," $890.00 "," $890.00 ",32.6966%," $599.00 ",,
"Neostone","NEOS398","Exterior WPC Wall Panel Teak 2900x220x26 0.6380 m2",1,"Pieza"," $890.00 "," $890.00 ",32.6966%," $599.00 ",,
"Neostone","NEOS343"," PISO VINÍLICO SPC DARK GREY 6006-8 1240X182X5MM 2.70M2",1,"Pieza"," $942.30 "," $942.30 ",3.0001%," $914.03 ",,
"Neostone","NEOS344"," PISO VINÍLICO SPC NATURAL CD7331-2 1240X182X5MM 2.70M2",1,"Pieza"," $942.30 "," $942.30 ",3.0001%," $914.03 ",,
"Neostone","NEOS342"," PISO VINÍLICO SPC TABACO 3736-3 1240X182X5MM 2.70M2",1,"Pieza"," $942.30 "," $942.30 ",3.0001%," $914.03 ",,
"Neostone","NEOS402","UV PVC Marble Board Albania White 1220x2800x3mm 3.1416 m2 (8232)",1,"Pieza"," $1,590.00 "," $1,590.00 ",25.0000%," $1,192.50 ",,
"Neostone","NEOS404","UV PVC Marble Board Beijin Green 1220x2800x3mm 3.1416 m2 (S1221)",1,"Pieza"," $1,590.00 "," $1,590.00 ",25.0000%," $1,192.50 ",,
"Neostone","NEOS403","UV PVC Marble Board Bélgica Grey 1220x2800x3mm 3.1416 m2 (S1350)",1,"Pieza"," $1,590.00 "," $1,590.00 ",25.0000%," $1,192.50 ",,
"Neostone","NEOS405","UV PVC Marble Board Libano Black 1220x2800x3mm 3.1416 m2 (KL 8146)",1,"Pieza"," $1,590.00 "," $1,590.00 ",25.0000%," $1,192.50 ",,
"Neostone","NEOS406","UV PVC Marble Board Singapur Dark 1220x2800x3mm 3.1416 m2 (8231-2)",1,"Pieza"," $1,590.00 "," $1,590.00 ",25.0000%," $1,192.50 ",,
"Neostone","INCN419","TRAIRÍ 58X58 2.68m2 (PSI-66910)",1,"Pieza"," $829.00 "," $829.00 ",77.2014%," $189.00 ",,"Hasta agotar existencias"
