"Proveedor","Estatus","Categoría","Subcategoria","Codigo","Descripcion","Udm","Metraje","Precio sistema","Precio regular","Descuento","Precio Remate","Comentarios"
"Daltile ","Descontinuado","Pisos ","Pisos Daltile","ZXN31060R1P7","ZXN3 25 cm x 153 cm Rect. Xenia Natural 1a. Cal. 1.16M2","M2",1.16," $809.00 "," $697.41 ",35.62%," $449.00 ",
"Daltile ","Descontinuado","Pisos ","Pisos Daltile","GZF218181P7","GZF21 45x45 Lake Gris 1a. Cal 1.63M2","M2",1.63," $354.00 "," $217.18 ",40.60%," $129.00 ",
"Daltile ","Descontinuado","Pisos ","Pisos Daltile","GPF12424RC1P7","GPF1 60X60CM Rect. Pietra Francesa Light Grey 1a. Cal 1.8M2","M2",1.8," $743.00 "," $412.78 ",42.10%," $239.00 ",
"Daltile ","Descontinuado","Pisos ","Pisos Daltile","ZDM4720B1P2","ZDM4 18X50 Black Walnut Moka 1a. Cal 1.08M2","M2",1.08," $272.00 "," $251.85 ",40.84%," $149.00 ",
"Daltile ","Descontinuado","Pisos ","Pisos Daltile","EM01720B1P2","EM01 18X50 Emblem Beige 1a. Cal 1.08M2","M2",1.08," $247.00 "," $228.70 ",30.48%," $159.00 ",
"Daltile ","Descontinuado","Pisos ","Pisos Daltile","GHW1720B1P2","GHW1 18x50 Homewood Gray 1a. Cal 1.08M2","M2",1.08," $260.00 "," $240.74 ",33.95%," $159.00 ",
"Daltile ","Descontinuado","Pisos ","Pisos Daltile","ZPV62448PR1P7","ZPV6 59x118cm Rect. Pietra Di Vals Dark Gray 1a. Cal 1.37M2","M2",1.37," $1,180.00 "," $861.31 ",51.35%," $419.00 ",
"Daltile ","Descontinuado","Pisos ","Pisos Daltile","ZCG532641PD","ZCG5 80x160 cm. Rect. Carrara Gold White 1a. Cal. 2.56M2","M2",2.56," $2,189.00 "," $855.08 ",29.95%," $599.00 ",
"Daltile ","Descontinuado","Pisos ","Pisos Daltile","GZF118181P7","GZF11 45X45 Lake Beige 1a. Cal 1.63M2","M2",1.63," $354.00 "," $217.18 ",40.60%," $129.00 ",
"Daltile ","Descontinuado","Pisos ","Pisos Daltile","ZCV615151P7","ZCV6 37x37cm Canova Castano 1a. Cal 2.11M2","M2",2.11," $400.00 "," $189.57 ",26.68%," $139.00 ",
"Daltile ","Descontinuado","Pisos ","Pisos Daltile","ZUR51218C1P7","ZUR5 30cm x 45cm Urbania Black & White 1a. Cal 1.36M2","M2",1.36," $479.00 "," $352.21 ",34.98%," $229.00 ",
"Daltile ","Descontinuado","Pisos ","Pisos Daltile","GON12448R1P7","GON1 60x120 Origin Black Rectificado 1a. Cal 1.44M2","M2",1.44," $639.00 "," $443.75 ",19.10%," $359.00 ",
"Daltile ","Descontinuado","Pisos ","Pisos Daltile","PL021218C1P7","PL02 30x45 Polaris Blanco 1a. Cal 1.50M2","M2",1.5," $419.00 "," $279.33 ",18.02%," $229.00 ",
"Daltile ","Descontinuado","Pisos ","Pisos Daltile","ZT0715151P7","ZT07 37x37 cm Tonala Cafe 1a. Cal 2.11M2","M2",2.11," $386.00 "," $182.94 ",24.02%," $139.00 ",
"Daltile ","Descontinuado","Pisos ","Pisos Daltile","EM02720B1P2","EM02 18x50 Emblem Brown1a. Cal 1.08M2","M2",1.08," $247.00 "," $228.70 ",30.48%," $159.00 ",
"Daltile ","Descontinuado","Pisos ","Pisos Daltile","ZZT22424RC1P7","ZZT2 60 cm x 60 cm Rect. Zermatt White 1a. Cal 1.8M2","M2",1.8," $659.00 "," $366.11 ",37.45%," $229.00 ",
"Daltile ","Descontinuado","Pisos ","Pisos Daltile","ZUR21218C1P7","ZUR2 30cm x 45cm Urbania Blue 1a. Cal 1.36M2","M2",1.36," $479.00 "," $352.21 ",34.98%," $229.00 ",
"Daltile ","Descontinuado","Pisos ","Pisos Daltile","ZSC31836RC1P7","ZSC3 45x90 cm. Rect. Stone Cave Black 1a. Cal 1.6M2","M2",1.6," $589.00 "," $368.13 ",16.06%," $309.00 ",
"Daltile ","Descontinuado","Pisos ","Pisos Daltile","ZGX518181P7","ZGX5 45x45cm Geox Cafe 1a. Cal 1.63M2","M2",1.63," $485.00 "," $297.55 ",43.20%," $169.00 ",
"Daltile ","Descontinuado","Pisos ","Pisos Daltile","ZA612448R1P7","ZA61 60x120 Aurora Bianco Rect. 1a Cal 1.44M2","M2",1.44," $669.00 "," $464.58 ",39.95%," $279.00 ",
"Daltile ","Descontinuado","Pisos ","Pisos Daltile","GZF115151P7","GZF1 37x37cm Lake Beige 1a. Cal 2.11M2","M2",2.11," $400.00 "," $189.57 ",47.78%," $99.00 ",
"Daltile ","Descontinuado","Pisos ","Pisos Daltile","GME118181P7","GME1 45x45 Merida Multicolor 1a. Cal 1.63M2","M2",1.36," $358.00 "," $263.24 ",47.20%," $139.00 ",
"Daltile ","Descontinuado","Pisos ","Pisos Daltile","ZKL815151P7","ZKL8 37 cm x 37 cm Kalei Dot Black 1a. Cal 2.11M2","M2",2.11," $529.00 "," $250.71 ",36.58%," $159.00 ",
"Daltile ","Descontinuado","Pisos ","Pisos Daltile","EM027201P2","EM02 18 cm x 50 cm Emblem Brown 1a.Cal 0.99M2","M2",0.99," $227.00 "," $229.29 ",21.93%," $179.00 ",
"Daltile ","Descontinuado","Pisos ","Pisos Daltile","ZAV42424RC1P7","ZAV4 60cm x 60cm Rect. Avenza Blanco Brillante 1a Cal. 1.8M2","M2",1.8," $743.00 "," $412.78 ",39.68%," $249.00 ",
"Daltile ","Descontinuado","Pisos ","Pisos Daltile","ZH182424B1PJ","ZH18 60 cm x 60 cm Bellagio Crema Super Gloss 1a Cal. 1.44m2","M2",1.44," $449.00 "," $311.81 ",26.56%," $229.00 ",
"Daltile ","Descontinuado","Pisos ","Pisos Daltile","ZAL9720HD1P2","ZAL9 18X50 Alondra Café 1a.Cal 0.99M2","M2",0.99," $189.00 "," $190.91 ",27.19%," $139.00 ",
"Daltile ","Descontinuado","Pisos ","Pisos Daltile","ZS372424C1P7","ZS37 60.5 cm x 60.5 cm Stratto Gray 1a. Cal. 1.83 M2","M2",1.83," $609.00 "," $332.79 ",55.23%," $149.00 ",
"Daltile ","Descontinuado","Pisos ","Pisos Daltile","ZM7532641PU","ZM75 80cm x 160cm Manaos Deep Gray 1a. Cal 1.28M2","M2",1.28," $1,099.00 "," $858.59 ",30.23%," $599.00 ",
"Daltile ","Descontinuado","Pisos ","Pisos Daltile","EM03836D1P7","EM03 20 cm x 90 cm Emblem Grey 1a. Cal 1.81m2","M2",1.81," $649.00 "," $358.56 ",27.77%," $259.00 ",
"Vitromex ","Descontinuado","Pisos ","Pisos Vitromex",520012413847061,"PISO MONET ABEDUL 18X60.6 CM 1.64 M2/CAJA","M2",1.64," $573.00 "," $349.39 ",54.49%," $159.00 ",
"Daltile ","Descontinuado","Pisos ","Pisos Daltile","ZAR31836C1P7","ZAR3 45 cm x 90 cm Artesa Gris 1a. Cal 1.62M2","M2",1.62," $679.00 "," $419.14 ",52.52%," $199.00 ",
"Daltile ","Descontinuado","Pisos ","Pisos Daltile","ZAR41836C1P7","ZAR4 45 cm x 90 cm Artesa Obscuro 1a Cal. 1.62M2","M2",1.62," $679.00 "," $419.14 ",52.52%," $199.00 ",
"Daltile ","Descontinuado","Pisos ","Pisos Daltile","GSS22424RC1P7","GSS2 60 cm x 60 cm Rect. Sandstone Gray 1a Cal 1.8m2","M2",1.8," $591.00 "," $328.33 ",36.35%," $209.00 ",
"Daltile ","Descontinuado","Pisos ","Pisos Daltile","ZA611836RC1P7","ZA61 45 cm x 90 cm. Rect. Aurora Bianco 1a. Cal 1.6M2","M2",1.6," $569.00 "," $355.63 ",35.61%," $229.00 ",
"Daltile ","Descontinuado","Pisos ","Pisos Daltile","ZKA332641PU","ZKA3 80x160 Katania Dark Gray 1a. Cal. 1.28M2","M2",1.28," $1,099.00 "," $858.59 ",30.23%," $599.00 ",
"Daltile ","Descontinuado","Pisos ","Pisos Daltile","ZA8132641PU","ZA81 80x160 Andria Marfil 1a. Cal. 1.28M2","M2",1.28," $1,099.00 "," $858.59 ",30.23%," $599.00 ",
"Urrea","Descontinuado","Cerámica Urrea","PAQBAÑODICABCO",50582021,"TAZA REDONDA ECONOMICA DICA 4203","PIEZA",,,,," $2,079.00 ",
"Urrea","Descontinuado","Cerámica Urrea","PAQBAÑODICABCO",51454021,"TANQUE ECOLOGICO DICA","PIEZA",,,,,,
"Urrea","Descontinuado","Cerámica Urrea","PAQBAÑODICABCO",52006022,"LAVABO COSMOS 4"" BLANCO","PIEZA",,,,,,
"Urrea","Descontinuado","Cerámica Urrea","PAQBAÑODICABCO",53006022,"PEDESTAL COSMOS BLANCO","PIEZA",,,,,,
"Urrea","Descontinuado","Cerámica Urrea","PAQCORZOBCO1",50106023,"TAZA MONET AL STAR BLANCO","PIEZA",,,,," $2,189.00 ",
"Urrea","Descontinuado","Cerámica Urrea","PAQCORZOBCO1",52010023,"LAVABO TRIA 4 STAR BLANCO","PIEZA",,,,,,
"Urrea","Descontinuado","Cerámica Urrea","PAQCORZOBCO1",53010022,"PEDESTAL AUSTRIA BLANCO","PIEZA",,,,,,
"Urrea","Descontinuado","Cerámica Urrea","PAQCORZOBCO1","TQ1033A021","TANQUE CORZO","PIEZA",,,,,,
"Urrea","Descontinuado","Cerámica Urrea","PAQARONABCO","TQ1101A021","Tanque Arona Ecologico 4.8 L (Blanco)","PIEZA",,,,," $1,899.00 ",
"Urrea","Descontinuado","Cerámica Urrea","PAQARONABCO","TZ2102A021","Taza ARONA Alargada (Blanco)","PIEZA",,,,,,
"Urrea","Descontinuado","Cerámica Urrea","PAQEMEZBCO",50083023,"TAZA NAVIA STAR BLANCO GRADO B URREA","PIEZA",,,,," $1,539.00 ",
"Urrea","Descontinuado","Cerámica Urrea","PAQEMEZBCO",51454021,"TANQUE ECOLOGICO DICA","PIEZA",,,,,,
"Urrea","Descontinuado","Cerámica Urrea","PAQEMEZBCO",52458022,"LAVABO 2501 4"" BLANCO","PIEZA",,,,,,
"Urrea","Descontinuado","Cerámica Urrea","PAQEMEZBCO",4022,"MEZCLADORA ECOLÓGICA PARA LAVABO","PIEZA",,,,,,
"Urrea","Descontinuado","Cerámica Urrea","PAQCREELBCO1",50106023,"TAZA MONET AL STAR BLANCO","PIEZA",,,,," $2,189.00 ",
"Urrea","Descontinuado","Cerámica Urrea","PAQCREELBCO1","TQ1032A021","TANQUE CREEL","PIEZA",,,,,,
"Urrea","Descontinuado","Cerámica Urrea","PAQCREELBCO1",52010023,"LAVABO TRIA 4 STAR BLANCO","PIEZA",,,,,,
"Urrea","Descontinuado","Cerámica Urrea","PAQCREELBCO1",53010022,"PEDESTAL AUSTRIA BLANCO","PIEZA",,,,,,
"Urrea","Descontinuado","Cerámica Urrea","PAQALHSO",50106043,"TAZA MONET AL HUESO","PIEZA",,,,," $2,599.00 ",
"Urrea","Descontinuado","Cerámica Urrea","PAQALHSO",51455042,"TANQUE ANDROMEDA GS 4.8 AL HUESO","PIEZA",,,,,,
"Urrea","Descontinuado","Cerámica Urrea","PAQALHSO",52010043,"LAVABO TRIA 4 STAR HUESO URREA","PIEZA",,,,,,
"Urrea","Descontinuado","Cerámica Urrea","PAQALHSO",53010042,"PEDESTAL AUSTRIA HUESO","PIEZA",,,,,,
"Urrea","Descontinuado","Cerámica Urrea","PAQALANDROBCO",50455022,"TAZA ANDROMEDA BLANCO","PIEZA",,,,," $2,389.00 ",
"Urrea","Descontinuado","Cerámica Urrea","PAQALANDROBCO","TQ1032A021","TANQUE CREEL","PIEZA",,,,,,
"Urrea","Descontinuado","Cerámica Urrea","PAQALANDROBCO",53010022,"Pedestal Autria blanco","PIEZA",,,,,,
"Urrea","Descontinuado","Cerámica Urrea","PAQALANDROBCO",52010023,"LAVABO TRIA 4 STAR BLANCO","PIEZA",,,,,,
"Urrea","Descontinuado","Cerámica Urrea","PAQEBCO",50083023,"TAZA NAVIA STAR BLANCO GRADO B URREA","PIEZA",,,,," $1,499.00 ",
"Urrea","Descontinuado","Cerámica Urrea","PAQEBCO",51453022,"TANQUE FENIX RD BLANCO","PIEZA",,,,,,
"Urrea","Descontinuado","Cerámica Urrea","PAQEBCO",52006023,"LAVABO STRELLA 4"" BLANCO","PIEZA",,,,,,
"Tecnopiso","Descontinuado","Pisos","Pisos Tecnopiso","PT612CANNBL1A","PISO CANNES BLACK BR 60X120CM 1.44M2","CAJA",1.44," $529.00 "," $367.36 ",18.61%," $299.00 ",
"Tecnopiso","Descontinuado","Pisos","Pisos Tecnopiso","PT612CANNWH1A","PISO CANNES WHITE BR 60X120CM 1.44M2","CAJA",1.44," $529.00 "," $367.36 ",24.05%," $279.00 ",
"Tecnopiso","Descontinuado","Pisos","Pisos Tecnopiso","PT612CORAL1A","PISO CORAL BR 60X120CM 1.44M2","CAJA",1.44," $529.00 "," $367.36 ",21.33%," $289.00 ",
"Tecnopiso","Descontinuado","Pisos","Pisos Tecnopiso","PT612EMPEBR1A","PISO EMPERADOR BRONCE BR 60X120CM 1.44M2","CAJA",1.44," $529.00 "," $367.36 ",21.33%," $289.00 ",
"Tecnopiso","Descontinuado","Pisos","Pisos Tecnopiso","PT612EMPEPL1A","PISO EMPERADOR PLATA BR 60X120CM 1.44M2","CAJA",1.44," $529.00 "," $367.36 ",24.05%," $279.00 ",
"Tecnopiso","Descontinuado","Pisos","Pisos Tecnopiso","PT612EMPETI1A","PISO EMPERADOR TITANIO BR 60X120CM 1.44M2","CAJA",1.44," $529.00 "," $367.36 ",21.33%," $289.00 ",
"Tecnopiso","Descontinuado","Pisos","Pisos Tecnopiso","PT612GLACIA1A","PISO GLACIAR MT 60x120CM 1.44M2","CAJA",1.44," $529.00 "," $367.36 ",26.78%," $269.00 ",
"Tecnopiso","Descontinuado","Pisos","Pisos Tecnopiso","PT612SANTOT1A","PISO SANTO MT TOMAS 60X120CM 1.44M2","CAJA",1.44," $529.00 "," $367.36 ",18.61%," $299.00 ",
"Tecnopiso","Descontinuado","Pisos","Pisos Tecnopiso","PT612ARTIC1A","PISO ARTIC BR 60X120CM 1.44M2","CAJA",1.44," $529.00 "," $367.36 ",18.61%," $299.00 ",
"Tecnopiso","Descontinuado","Pisos","Pisos Tecnopiso","PT33KOBUBE1B","PISO KOBUK BEIGE 33X33 1.63 M2 ANTIDERRAPANTE","CAJA",1.63," $399.00 "," $244.79 ",26.87%," $179.00 ",
"Tecnopiso","Descontinuado","Pisos","Pisos Tecnopiso","PT33KOBUGR1B","PISO KOBUK GRIS 33X33 1.63 M2 ANTIDERRAPANTE","CAJA",1.63," $399.00 "," $244.79 ",26.87%," $179.00 ",
"Tecnopiso","Descontinuado","Pisos","Pisos Tecnopiso","PT33KOBUCA1B","PISO KOBUK CAFE 33X33 1.63 M2 ANTIDERRAPANTE","CAJA",1.63," $399.00 "," $244.79 ",26.87%," $179.00 ",
"Tecnopiso","Descontinuado","Pisos","Pisos Tecnopiso","PT36AREZBL1A","PISO AREZZO BLANCO 30X60 1.62 M2","CAJA",1.62," $429.00 "," $264.81 ",28.63%," $189.00 ",
"Tecnopiso","Descontinuado","Pisos","Pisos Tecnopiso","PT36AREZGR1A","PISO AREZZO GRIS 30X60 1.62M2","CAJA",1.62," $429.00 "," $264.81 ",28.63%," $189.00 ",
"Tecnopiso","Descontinuado","Pisos","Pisos Tecnopiso","PT36PARISGR1A","FACHALETA RUSTICO PARIS BEIGE 30X60 CM 1.62 M2","CAJA",1.62," $429.00 "," $264.81 ",28.63%," $189.00 ",
"Tecnopiso","Descontinuado","Pisos","Pisos Tecnopiso","PT36PRISBE1C","PISO PRISMA BEIGE 30X60CM 1.62M2/CAJA","CAJA",1.62," $429.00 "," $264.81 ",28.63%," $189.00 ",
"Tecnopiso","Descontinuado","Pisos","Pisos Tecnopiso","PRIGR60","PISO CERAMICO PRISMA GRIS 60X60 1.44M","CAJA",1.44," $429.00 "," $297.92 ",26.49%," $219.00 ",
"Tecnopiso","Descontinuado","Pisos","Pisos Tecnopiso","PRIBLC60","PISO CERAMICO PRISMA BEIGE 60X60 1.44 M","CAJA",1.44," $429.00 "," $297.92 ",26.49%," $219.00 ",
"Tecnopiso","Descontinuado","Pisos","Pisos Tecnopiso","PRINE60","PISO CERAMICO PRISMA NEGRO 60X60 1.44M","CAJA",1.44," $429.00 "," $297.92 ",26.49%," $219.00 ",
"Tecnopiso","Descontinuado","Pisos","Pisos Tecnopiso","PT60QUARNE1A","PISO CERAMICO QUARTZ NEGRO 60X60 CM. 1.44 M2 CAJA","CAJA",1.44," $429.00 "," $297.92 ",26.49%," $219.00 ",
"Tecnopiso","Descontinuado","Pisos","Pisos Tecnopiso","PT60ARCEAZ1A","PISO CERAMICO ARCE AZUL 60X60 CM. 1.44 M2 CAJA","CAJA",1.44," $429.00 "," $297.92 ",23.13%," $229.00 ",
"Tecnopiso","Descontinuado","Pisos","Pisos Tecnopiso","PT60ARCECA1A","PISO CERAMICO ARCE CAFE 60X60 1.44 M2","CAJA",1.44," $429.00 "," $297.92 ",23.13%," $229.00 ",
"Tecnopiso","Descontinuado","Pisos","Pisos Tecnopiso","PT36GREYTE1A","PISO GREYTECH 30X60 CM 1.62M2/ CAJA","CAJA",1.62," $429.00 "," $264.81 ",28.63%," $189.00 ",
"Tecnopiso","Descontinuado","Pisos","Pisos Tecnopiso","PT36PRISNE1C","PRISMA NEGRO 30X60CM 1.62M2","CAJA",1.62," $429.00 "," $264.81 ",28.63%," $189.00 ",
"Tecnopiso","Descontinuado","Pisos","Pisos Tecnopiso","PRIGR30X60","PISO CERAMICO PRISMA GRIS 30X60 1.62M2","CAJA",1.62," $429.00 "," $264.81 ",28.63%," $189.00 ",
"Tecnopiso","Descontinuado","Pisos","Pisos Tecnopiso","PT36PARIGR1A","FACHALETA PARIS GRIS 30X60CM 1.62M2 CAJA","CAJA",1.62," $429.00 "," $264.81 ",28.63%," $189.00 ",
"Tecnopiso","Descontinuado","Pisos","Pisos Tecnopiso","PT60PRISGR2B","PISO PRISMA GRIS 60X60 1.44M2 C.C.","CAJA",1.44," $281.00 "," $195.14 ",0.07%," $195.00 ",
"Tecnopiso","Descontinuado","Pisos","Pisos Tecnopiso","PT60PRISRO2C","PISO PRISMA ROSATTO 60X60 1.44M2 C.C.","CAJA",1.44," $281.00 "," $195.14 ",0.07%," $195.00 ",
"Tecnopiso","Descontinuado","Pisos","Pisos Tecnopiso","PT36AREZBL2A","PISO AREZZO BLANCO 30X60 1.62 M2 CALIDAD COMERCIAL","CAJA",1.62," $290.00 "," $179.01 ",0.01%," $179.00 ",
"Tecnopiso","Descontinuado","Pisos","Pisos Tecnopiso","PT36AREZGR2A","PISOS AREZZO GRIS 30X60 1.62M2 CALIDAD COMERCIAL","CAJA",1.62," $290.00 "," $179.01 ",0.01%," $179.00 ",
"Tecnopiso","Descontinuado","Pisos","Pisos Tecnopiso","PT36CONCRE2A","PISO CERAMICO CONCRETE GRIS CALIDAD COMERCIAL 30X60 1.62 M2","CAJA",1.62," $290.00 "," $179.01 ",0.01%," $179.00 ",
"Tecnopiso","Descontinuado","Pisos","Pisos Tecnopiso","PT50LOREBL2A","LORETO BLANCO 50X50 1.75 C. COMERCIAL","CAJA",1.75," $314.00 "," $179.43 ",0.24%," $179.00 ",
"Tecnopiso","Descontinuado","Pisos","Pisos Tecnopiso","PT50LOREGR2A","PISO LORETO GRIS 1.75M2 CALIDAD COMERCIAL","CAJA",1.75," $314.00 "," $179.43 ",0.24%," $179.00 ",
"Tecnopiso","Descontinuado","Pisos","Pisos Tecnopiso","RT595HITABL2A","PISOS HITA BLANCO 1.42M2 CALIDAD COMERCIAL","CAJA",1.42," $255.00 "," $179.58 ",0.32%," $179.00 ",
"Tecnopiso","Descontinuado","Pisos","Pisos Tecnopiso","PT60PRISRO1B","PISO PRISMA ROSATTO 60X60 1.44M2/CAJA","CAJA",1.44," $429.00 "," $297.92 ",33.20%," $199.00 ",
"Tecnopiso","Descontinuado","Pisos","Pisos Tecnopiso","PN60QC1E","PISO CERAMICO MOD QUARTZ CAFE 60X60 1.44 M2 CAJA","CAJA",1.44," $429.00 "," $297.92 ",33.20%," $199.00 ",
"Renujal","Descontinuado Proveedor","Pisos","Pisos Renujal","CAS10024507","BURGOS 66 GREY 60X60 5 PZS 1.80M2","M2",1.8," $409.00 "," $227.22 ",18.58%," $185.00 ",
"Renujal","Descontinuado Proveedor","Pisos","Pisos Renujal","CAS10024506","BURGOS 66 IVORY 60X60 5 PZS 1.80M2","M2",1.8," $409.00 "," $227.22 ",18.58%," $185.00 ",
"Renujal","Descontinuado","Pisos","Pisos Renujal","CAS94019","PISO YUNN 32 PERLA 30X120 1.76M2","M2",1.76," $629.00 "," $357.39 ",30.33%," $249.00 ",
"Castel","Descontinuado","Pisos","Pisos Castel","CAS19","PISO PORCELANICO REC TOSCANA 80X80 1.92M2 CAJA","M2",1.92," $1,099.00 "," $572.40 ",32.04%," $389.00 ",
"Machen ","Descontinuado","Muebles ","Mueble de Baño","MCBENNO","MUEBLE CABINET BENNO","Pieza ",1," $8,859.00 "," $8,859.00 ",22.12%," $6,899.00 ","Hasta agotar existencias, no valido sobrepedido"
"Machen ","Descontinuado","Muebles ","Mueble de Baño","MCARNO","MUEBLE CABINET ARNO","Pieza ",1," $7,299.00 "," $7,299.00 ",50.69%," $3,599.00 ","Solo para material en exhibicion "
"Quarella&Decor","Descontinuado","Espejos","Espejos Quarella","QD001","ESPEJO NARON 60 CM RED LED","Pieza",1," $2,950.00 "," $2,950.00 ",25.46%," $2,199.00 ","Hasta agotar existencias, no valido sobrepedido"
"Quarella&Decor","Descontinuado","Espejos","Espejos Quarella","QD002","ESPEJO TUY 60 CM RED NEGRO BT LED","Pieza",1," $3,600.00 "," $3,600.00 ",44.47%," $1,999.00 ","Solo para material en exhibicion "
"Quarella&Decor","Descontinuado","Espejos","Espejos Quarella","QD004","ESPEJO FERROL 60X90 CM LED","Pieza",1," $2,600.00 "," $2,600.00 ",15.42%," $2,199.00 ","Hasta agotar existencias, no valido sobrepedido"
"Quarella&Decor","Descontinuado","Espejos","Espejos Quarella","QD005","ESPEJO LUGO 60 CM RED LED","Pieza",1," $2,400.00 "," $2,400.00 ",20.88%," $1,899.00 ","Hasta agotar existencias, no valido sobrepedido"
"Renujal","Descontinuado","Pisos ","Pisos Renujal ","CAS94011","PISO RECT NORUEGA 22 HAYA 20X120 1.83M2","M2",1.83," $629.00 "," $343.72 ",30.47%," $239.00 ",
"Calorex","Descontinuado","Calentadores","Calentadores Calorex",50204030011,"OPTIMUS DE PASO ODP-06 LP","Pieza",1," $3,170.51 "," $3,170.51 ",18.03%," $2,599.00 ",
"Calorex","Descontinuado","Calentadores","Calentadores Calorex",50204030071,"OPTIMUS ODP-09 GAS LP","Pieza",1," $4,441.31 "," $4,441.31 ",25.72%," $3,299.00 ",
"Calorex","Descontinuado","Calentadores","Calentadores Calorex",50302070050,"CINSA ELECTRICO CIE-10 220V 4.0KW","Pieza",1," $5,539.00 "," $5,539.00 ",44.05%," $3,099.00 ",
"Calorex","Descontinuado","Calentadores","Calentadores Calorex",50304020091,"CALENTADOR OPTIMUS INSTANTANEO 01-05 E LP","Pieza",1," $1,763.23 "," $1,763.23 ",32.00%," $1,199.00 ",
"Calorex","Descontinuado","Calentadores","Calentadores Calorex",50402070031,"CINSA INSTANTANEO CIN-13 B LP","Pieza",1," $5,514.00 "," $5,514.00 ",47.42%," $2,899.00 ",
"Castel","Descontinuado","Pisos","Pisos Castel","CAS100208","PISO TOSCANA 120 PLUS BCO 60X120 1.44M2","M2",1.44," $926.00 "," $643.06 ",47.28%," $339.00 ",
"Machen ","Descontinuado","Muebles ","Mueble de Baño","MCARNO","MUEBLE CABINET ARNO","Pieza",1," $7,299.00 "," $7,299.00 ",50.69%," $3,599.00 ","Solo para material en exhibicion "
"Machen ","Descontinuado","Muebles ","Mueble de Baño","MCBENNO","MUEBLE CABINET BENNO","Pieza",1," $8,859.00 "," $8,859.00 ",22.12%," $6,899.00 ","Solo para material en exhibicion "
"Machen ","Descontinuado","Muebles ","Mueble de Baño","MCZAFIRO","MUEBLE CABINET ZAFIRO (ESPEJO LED)","Pieza",1," $11,799.00 "," $11,799.00 ",29.58%," $8,309.00 ","Solo para material en exhibicion "
"Machen ","Descontinuado","Muebles ","Mueble de Baño","MCCUARZO ","MUEBLE CABINET CUARZO ","Pieza",1," $10,279.00 "," $10,279.00 ",29.57%," $7,239.00 ","Solo para material en exhibicion "
"Machen ","Descontinuado","Muebles ","Mueble de Baño","MCPIROXENO ","MUEBLE CABINET PIROXENO CON ESPEJO LED ","Pieza",1," $15,209.00 "," $15,209.00 ",40.17%," $9,099.00 ","Solo para material en exhibicion "
"Machen ","Descontinuado","Muebles ","Mueble de Baño","MCAMBAR ","MUEBLE CABINET AMBAR ","Pieza",1," $13,599.00 "," $13,599.00 ",41.18%," $7,999.00 ","Solo para material en exhibicion "
"Machen ","Descontinuado","Muebles ","Mueble de Baño","MCJASPE","MUEBLE CABINET JASPE","Pieza",1," $7,769.00 "," $7,769.00 ",26.64%," $5,699.00 ","Solo para material en exhibicion "
"Machen ","Descontinuado","Muebles ","Mueble de Baño","MCTESEO ","MUEBLE CABINET TESEO","Pieza",1," $8,269.00 "," $8,269.00 ",25.03%," $6,199.00 ","Solo para material en exhibicion "
"Vitromex ","Descontinuado","Pisos ","Pisos Vitromex",522682254011481,"PISO AIZEN GRIS 50X100 CM 1.5 M2/CAJA RECT","M2",1.5," $509.00 "," $339.33 ",35.46%," $219.00 ",
"Vitromex ","Descontinuado","Pisos ","Pisos Vitromex",522799254028911,"PISO LIVING BEIGE 50X100 CM 2.0 M2/CAJA RECT","M2",2," $719.00 "," $359.50 ",30.74%," $249.00 ",
"Urrea","Descontinuado","Cerámica Urrea","One Piece","75.7566.23","Sanitario One Piece OVALE E","PIEZA",1," $11,721.00 "," $11,721.00 ",48.82%," $5,999.00 ",
